time_period,time_identifier,version,geographic_level,country_code,country_name,gender,establishment_type,admission_type,religious_denomination,subject,qualification_type,grade,number_achieving,percentage_achieving
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Church of England,Chemistry,GCSE,9 to 1,9111,98
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Hindu,Chemistry,GCSE,9 to 1,56,100
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Hindu,Chemistry,GCSE,9 to 1,76,100
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Hindu,Chemistry,GCSE,9 to 1,132,100
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Jewish,Chemistry,GCSE,9 to 1,219,100
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Jewish,Chemistry,GCSE,9 to 1,236,98
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Jewish,Chemistry,GCSE,9 to 1,455,99
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Muslim,Chemistry,GCSE,9 to 1,171,98
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Muslim,Chemistry,GCSE,9 to 1,246,99
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Muslim,Chemistry,GCSE,9 to 1,417,99
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,No religious character,Chemistry,GCSE,9 to 1,65784,99
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,No religious character,Chemistry,GCSE,9 to 1,63032,99
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,No religious character,Chemistry,GCSE,9 to 1,128816,99
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Other Christian faith,Chemistry,GCSE,9 to 1,1874,99
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Other Christian faith,Chemistry,GCSE,9 to 1,1350,99
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Other Christian faith,Chemistry,GCSE,9 to 1,3224,99
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Roman catholic,Chemistry,GCSE,9 to 1,6233,99
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Roman catholic,Chemistry,GCSE,9 to 1,6305,99
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Roman catholic,Chemistry,GCSE,9 to 1,12538,99
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Sikh,Chemistry,GCSE,9 to 1,87,100
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Sikh,Chemistry,GCSE,9 to 1,92,100
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Sikh,Chemistry,GCSE,9 to 1,179,100
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Total,Chemistry,GCSE,9 to 1,79185,99
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Total,Chemistry,GCSE,9 to 1,75691,99
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Total,Chemistry,GCSE,9 to 1,154876,99
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,non-selective schools in highly selective areas,Total,Chemistry,GCSE,9 to 1,3771,98
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,non-selective schools in highly selective areas,Total,Chemistry,GCSE,9 to 1,3708,98
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,non-selective schools in highly selective areas,Total,Chemistry,GCSE,9 to 1,7479,98
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,non-selective schools in other areas,Total,Chemistry,GCSE,9 to 1,64306,99
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,non-selective schools in other areas,Total,Chemistry,GCSE,9 to 1,61329,99
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,non-selective schools in other areas,Total,Chemistry,GCSE,9 to 1,125635,99
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,selective schools,Total,Chemistry,GCSE,9 to 1,11106,100
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,selective schools,Total,Chemistry,GCSE,9 to 1,10652,100
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,selective schools,Total,Chemistry,GCSE,9 to 1,21758,100
202223,Academic year,Provisional,National,E92000001,England,Boys,Studio schools,Total,Total,Chemistry,GCSE,9 to 1,170,95
202223,Academic year,Provisional,National,E92000001,England,Girls,Studio schools,Total,Total,Chemistry,GCSE,9 to 1,155,93
202223,Academic year,Provisional,National,E92000001,England,Total,Studio schools,Total,Total,Chemistry,GCSE,9 to 1,325,94
202223,Academic year,Provisional,National,E92000001,England,Boys,University technical colleges (UTCs),Total,Total,Chemistry,GCSE,9 to 1,1072,98
202223,Academic year,Provisional,National,E92000001,England,Girls,University technical colleges (UTCs),Total,Total,Chemistry,GCSE,9 to 1,491,98
202223,Academic year,Provisional,National,E92000001,England,Total,University technical colleges (UTCs),Total,Total,Chemistry,GCSE,9 to 1,1563,98
202223,Academic year,Provisional,National,E92000001,England,Boys,Academies and free schools,Total,Total,Chemistry,GCSE,9 to 4,57675,90
202223,Academic year,Provisional,National,E92000001,England,Girls,Academies and free schools,Total,Total,Chemistry,GCSE,9 to 4,54863,89
202223,Academic year,Provisional,National,E92000001,England,Total,Academies and free schools,Total,Total,Chemistry,GCSE,9 to 4,112538,89
202223,Academic year,Provisional,National,E92000001,England,Boys,All independent schools,Total,Total,Chemistry,GCSE,9 to 4,6412,96
202223,Academic year,Provisional,National,E92000001,England,Girls,All independent schools,Total,Total,Chemistry,GCSE,9 to 4,6711,97
202223,Academic year,Provisional,National,E92000001,England,Total,All independent schools,Total,Total,Chemistry,GCSE,9 to 4,13123,96
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Chemistry,GCSE,9 to 4,78068,90
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Chemistry,GCSE,9 to 4,74842,90
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Chemistry,GCSE,9 to 4,152910,90
202223,Academic year,Provisional,National,E92000001,England,Boys,All special schools,Total,Total,Chemistry,GCSE,9 to 4,76,42
202223,Academic year,Provisional,National,E92000001,England,Girls,All special schools,Total,Total,Chemistry,GCSE,9 to 4,17,37
202223,Academic year,Provisional,National,E92000001,England,Total,All special schools,Total,Total,Chemistry,GCSE,9 to 4,93,41
202223,Academic year,Provisional,National,E92000001,England,Boys,All state-funded,Total,Total,Chemistry,GCSE,9 to 4,71574,89
202223,Academic year,Provisional,National,E92000001,England,Girls,All state-funded,Total,Total,Chemistry,GCSE,9 to 4,68049,89
202223,Academic year,Provisional,National,E92000001,England,Total,All state-funded,Total,Total,Chemistry,GCSE,9 to 4,139623,89
202223,Academic year,Provisional,National,E92000001,England,Boys,All state-funded special schools,Total,Total,Chemistry,GCSE,9 to 4,31,32
202223,Academic year,Provisional,National,E92000001,England,Girls,All state-funded special schools,Total,Total,Chemistry,GCSE,9 to 4,5,23
202223,Academic year,Provisional,National,E92000001,England,Total,All state-funded special schools,Total,Total,Chemistry,GCSE,9 to 4,36,30
202223,Academic year,Provisional,National,E92000001,England,Boys,Converter academies,Total,Total,Chemistry,GCSE,9 to 4,43902,91
202223,Academic year,Provisional,National,E92000001,England,Girls,Converter academies,Total,Total,Chemistry,GCSE,9 to 4,42788,91
202223,Academic year,Provisional,National,E92000001,England,Total,Converter academies,Total,Total,Chemistry,GCSE,9 to 4,86690,91
202223,Academic year,Provisional,National,E92000001,England,Boys,FE 14-16 colleges,Total,Total,Chemistry,GCSE,9 to 4,2,50
202223,Academic year,Provisional,National,E92000001,England,Girls,FE 14-16 colleges,Total,Total,Chemistry,GCSE,9 to 4,2,50
202223,Academic year,Provisional,National,E92000001,England,Total,FE 14-16 colleges,Total,Total,Chemistry,GCSE,9 to 4,4,50
202223,Academic year,Provisional,National,E92000001,England,Boys,Free schools,Total,Total,Chemistry,GCSE,9 to 4,2762,92
202223,Academic year,Provisional,National,E92000001,England,Girls,Free schools,Total,Total,Chemistry,GCSE,9 to 4,2215,90
202223,Academic year,Provisional,National,E92000001,England,Total,Free schools,Total,Total,Chemistry,GCSE,9 to 4,4977,91
202223,Academic year,Provisional,National,E92000001,England,Boys,Independent schools,Total,Total,Chemistry,GCSE,9 to 4,6367,96
202223,Academic year,Provisional,National,E92000001,England,Girls,Independent schools,Total,Total,Chemistry,GCSE,9 to 4,6699,97
202223,Academic year,Provisional,National,E92000001,England,Total,Independent schools,Total,Total,Chemistry,GCSE,9 to 4,13066,97
202223,Academic year,Provisional,National,E92000001,England,Boys,Independent special schools,Total,Total,Chemistry,GCSE,9 to 4,39,51
202223,Academic year,Provisional,National,E92000001,England,Girls,Independent special schools,Total,Total,Chemistry,GCSE,9 to 4,8,44
202223,Academic year,Provisional,National,E92000001,England,Total,Independent special schools,Total,Total,Chemistry,GCSE,9 to 4,47,49
202223,Academic year,Provisional,National,E92000001,England,Boys,Non-maintained special schools,Total,Total,Chemistry,GCSE,9 to 4,6,67
202223,Academic year,Provisional,National,E92000001,England,Girls,Non-maintained special schools,Total,Total,Chemistry,GCSE,9 to 4,4,67
202223,Academic year,Provisional,National,E92000001,England,Total,Non-maintained special schools,Total,Total,Chemistry,GCSE,9 to 4,10,67
202223,Academic year,Provisional,National,E92000001,England,Boys,Sponsored academies,Total,Total,Chemistry,GCSE,9 to 4,10134,84
202223,Academic year,Provisional,National,E92000001,England,Girls,Sponsored academies,Total,Total,Chemistry,GCSE,9 to 4,9447,83
202223,Academic year,Provisional,National,E92000001,England,Total,Sponsored academies,Total,Total,Chemistry,GCSE,9 to 4,19581,84
202223,Academic year,Provisional,National,E92000001,England,Boys,"State-funded inc hosp, PRU & AP",Total,Total,Chemistry,GCSE,9 to 4,71593,89
202223,Academic year,Provisional,National,E92000001,England,Girls,"State-funded inc hosp, PRU & AP",Total,Total,Chemistry,GCSE,9 to 4,68067,89
202223,Academic year,Provisional,National,E92000001,England,Total,"State-funded inc hosp, PRU & AP",Total,Total,Chemistry,GCSE,9 to 4,139660,89
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Church of England,Chemistry,GCSE,9 to 4,4333,89
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Church of England,Chemistry,GCSE,9 to 4,3847,87
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Church of England,Chemistry,GCSE,9 to 4,8180,88
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Hindu,Chemistry,GCSE,9 to 4,56,100
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Hindu,Chemistry,GCSE,9 to 4,74,97
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Hindu,Chemistry,GCSE,9 to 4,130,98
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Jewish,Chemistry,GCSE,9 to 4,215,98
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Jewish,Chemistry,GCSE,9 to 4,227,94
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Jewish,Chemistry,GCSE,9 to 4,442,96
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Muslim,Chemistry,GCSE,9 to 4,169,97
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Muslim,Chemistry,GCSE,9 to 4,245,99
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Muslim,Chemistry,GCSE,9 to 4,414,98
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,No religious character,Chemistry,GCSE,9 to 4,59021,89
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,No religious character,Chemistry,GCSE,9 to 4,56385,89
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,No religious character,Chemistry,GCSE,9 to 4,115406,89
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Other Christian faith,Chemistry,GCSE,9 to 4,1812,96
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Other Christian faith,Chemistry,GCSE,9 to 4,1290,95
